dt,equity
2022-01-03T00:00:00,100000.000000
2022-01-04T00:00:00,100000.000000
2022-01-05T00:00:00,100000.000000
2022-01-06T00:00:00,100000.000000
2022-01-07T00:00:00,100000.000000
2022-01-10T00:00:00,100000.000000
2022-01-11T00:00:00,100000.000000
2022-01-12T00:00:00,100000.000000
2022-01-13T00:00:00,100000.000000
2022-01-14T00:00:00,100000.000000
2022-01-17T00:00:00,100000.000000
2022-01-18T00:00:00,100000.000000
2022-01-19T00:00:00,100000.000000
2022-01-20T00:00:00,100000.000000
2022-01-21T00:00:00,100000.000000
2022-01-24T00:00:00,100000.000000
2022-01-25T00:00:00,100000.000000
2022-01-26T00:00:00,100000.000000
2022-01-27T00:00:00,100000.000000
2022-01-28T00:00:00,100000.000000
2022-01-31T00:00:00,99999.042507
2022-02-01T00:00:00,99999.582307
2022-02-02T00:00:00,100001.867107
2022-02-03T00:00:00,100004.527507
2022-02-04T00:00:00,100002.864207
2022-02-07T00:00:00,100003.584207
2022-02-08T00:00:00,100005.552807
2022-02-09T00:00:00,100004.849607
2022-02-10T00:00:00,100003.170807
2022-02-11T00:00:00,100001.808507
2022-02-14T00:00:00,100001.727207
2022-02-15T00:00:00,100002.941907
2022-02-16T00:00:00,100001.079207
2022-02-17T00:00:00,100000.097307
2022-02-18T00:00:00,99999.727307
2022-02-21T00:00:00,99999.108207
2022-02-22T00:00:00,100001.054407
2022-02-23T00:00:00,100001.075421
2022-02-24T00:00:00,100000.922337
2022-02-25T00:00:00,100001.146337
2022-02-28T00:00:00,100000.893237
2022-03-01T00:00:00,100002.075874
2022-03-02T00:00:00,100002.094477
2022-03-03T00:00:00,100002.879177
2022-03-04T00:00:00,100001.458877
2022-03-07T00:00:00,100001.375877
2022-03-08T00:00:00,99999.479677
2022-03-09T00:00:00,99999.765677
2022-03-10T00:00:00,100001.224377
2022-03-11T00:00:00,100000.145077
2022-03-14T00:00:00,99997.827077
2022-03-15T00:00:00,99997.547277
2022-03-16T00:00:00,99996.047486
2022-03-17T00:00:00,99997.069492
2022-03-18T00:00:00,99995.704792
2022-03-21T00:00:00,99995.082943
2022-03-22T00:00:00,99992.597181
2022-03-23T00:00:00,99990.343794
2022-03-24T00:00:00,99988.300619
2022-03-25T00:00:00,99988.230019
2022-03-28T00:00:00,99988.493419
2022-03-29T00:00:00,99987.026219
2022-03-30T00:00:00,99983.479248
2022-03-31T00:00:00,99983.991871
2022-04-01T00:00:00,99982.112271
2022-04-04T00:00:00,99982.094671
2022-04-05T00:00:00,99983.356971
2022-04-06T00:00:00,99984.813171
2022-04-07T00:00:00,99983.732371
2022-04-08T00:00:00,99981.233271
2022-04-11T00:00:00,99981.187771
2022-04-12T00:00:00,99979.583954
2022-04-13T00:00:00,99978.713386
2022-04-14T00:00:00,99978.247186
2022-04-15T00:00:00,99979.173686
2022-04-18T00:00:00,99978.322804
2022-04-19T00:00:00,99975.611630
2022-04-20T00:00:00,99976.588630
2022-04-21T00:00:00,99975.970730
2022-04-22T00:00:00,99975.963930
2022-04-25T00:00:00,99976.913859
2022-04-26T00:00:00,99974.368949
2022-04-27T00:00:00,99976.278849
2022-04-28T00:00:00,99975.986449
2022-04-29T00:00:00,99974.627649
2022-05-02T00:00:00,99974.800649
2022-05-03T00:00:00,99973.513986
2022-05-04T00:00:00,99973.806633
2022-05-05T00:00:00,99972.453033
2022-05-06T00:00:00,99973.069433
2022-05-09T00:00:00,99974.121233
2022-05-10T00:00:00,99975.155733
2022-05-11T00:00:00,99975.404733
2022-05-12T00:00:00,99976.700133
2022-05-13T00:00:00,99975.414888
2022-05-16T00:00:00,99973.412533
2022-05-17T00:00:00,99972.994833
2022-05-18T00:00:00,99972.727433
2022-05-19T00:00:00,99972.642933
2022-05-20T00:00:00,99971.799633
2022-05-23T00:00:00,99969.683533
2022-05-24T00:00:00,99971.206933
2022-05-25T00:00:00,99971.545533
