dt,equity
2022-01-03T00:00:00,100000.000000
2022-01-04T00:00:00,100000.000000
2022-01-05T00:00:00,100000.000000
2022-01-06T00:00:00,100000.000000
2022-01-07T00:00:00,100000.000000
2022-01-10T00:00:00,100000.000000
2022-01-11T00:00:00,100000.000000
2022-01-12T00:00:00,100000.000000
2022-01-13T00:00:00,100000.000000
2022-01-14T00:00:00,100000.000000
2022-01-17T00:00:00,100000.000000
2022-01-18T00:00:00,100000.000000
2022-01-19T00:00:00,100000.000000
2022-01-20T00:00:00,100000.000000
2022-01-21T00:00:00,100000.000000
2022-01-24T00:00:00,100000.000000
2022-01-25T00:00:00,100000.000000
2022-01-26T00:00:00,100000.000000
2022-01-27T00:00:00,100000.000000
2022-01-28T00:00:00,100000.000000
2022-01-31T00:00:00,100000.000000
2022-02-01T00:00:00,100000.000000
2022-02-02T00:00:00,100000.000000
2022-02-03T00:00:00,100000.000000
2022-02-04T00:00:00,100000.000000
2022-02-07T00:00:00,100000.000000
2022-02-08T00:00:00,100000.000000
2022-02-09T00:00:00,100000.000000
2022-02-10T00:00:00,100000.000000
2022-02-11T00:00:00,99998.580284
2022-02-14T00:00:00,99998.498984
2022-02-15T00:00:00,99999.713684
2022-02-16T00:00:00,99997.850984
2022-02-17T00:00:00,99996.869084
2022-02-18T00:00:00,99996.499084
2022-02-21T00:00:00,99995.879984
2022-02-22T00:00:00,99997.826184
2022-02-23T00:00:00,99998.240484
2022-02-24T00:00:00,99998.758060
2022-02-25T00:00:00,99999.015660
2022-02-28T00:00:00,99998.411260
2022-03-01T00:00:00,99999.074360
2022-03-02T00:00:00,99998.506760
2022-03-03T00:00:00,99998.051049
2022-03-04T00:00:00,99997.042149
2022-03-07T00:00:00,99997.442149
2022-03-08T00:00:00,99995.889449
2022-03-09T00:00:00,99997.195049
2022-03-10T00:00:00,99998.302849
2022-03-11T00:00:00,99998.298849
2022-03-14T00:00:00,99996.842449
2022-03-15T00:00:00,99996.720349
2022-03-16T00:00:00,99995.796949
2022-03-17T00:00:00,99997.556349
2022-03-18T00:00:00,99996.798885
2022-03-21T00:00:00,99997.662685
2022-03-22T00:00:00,99995.749285
2022-03-23T00:00:00,99995.483385
2022-03-24T00:00:00,99997.884861
2022-03-25T00:00:00,99999.519661
2022-03-28T00:00:00,99997.327661
2022-03-29T00:00:00,99997.423861
2022-03-30T00:00:00,99998.151061
2022-03-31T00:00:00,99999.949161
2022-04-01T00:00:00,99998.069561
2022-04-04T00:00:00,99998.051961
2022-04-05T00:00:00,99999.314261
2022-04-06T00:00:00,100000.770461
2022-04-07T00:00:00,99999.689661
2022-04-08T00:00:00,99997.190561
2022-04-11T00:00:00,99997.145061
2022-04-12T00:00:00,99995.479761
2022-04-13T00:00:00,99994.372461
2022-04-14T00:00:00,99994.096984
2022-04-15T00:00:00,99994.694584
2022-04-18T00:00:00,99995.004826
2022-04-19T00:00:00,99993.389226
2022-04-20T00:00:00,99994.384026
2022-04-21T00:00:00,99994.352840
2022-04-22T00:00:00,99994.352840
2022-04-25T00:00:00,99995.348295
2022-04-26T00:00:00,99995.144495
2022-04-27T00:00:00,99995.631395
2022-04-28T00:00:00,99995.802595
2022-04-29T00:00:00,99995.391795
2022-05-02T00:00:00,99996.559895
2022-05-03T00:00:00,99996.817095
2022-05-04T00:00:00,99996.606695
2022-05-05T00:00:00,99996.449595
2022-05-06T00:00:00,99996.949195
2022-05-09T00:00:00,99997.937795
2022-05-10T00:00:00,99998.445595
2022-05-11T00:00:00,99999.139795
2022-05-12T00:00:00,99999.498795
2022-05-13T00:00:00,99999.504295
2022-05-16T00:00:00,99998.667295
2022-05-17T00:00:00,99998.067295
2022-05-18T00:00:00,99998.586330
2022-05-19T00:00:00,99998.758130
2022-05-20T00:00:00,99998.358930
2022-05-23T00:00:00,99998.072730
2022-05-24T00:00:00,99998.489230
2022-05-25T00:00:00,99998.936630
