dt,equity
2022-01-03T00:00:00,100000.000000
2022-01-04T00:00:00,100000.000000
2022-01-05T00:00:00,100000.000000
2022-01-06T00:00:00,100000.000000
2022-01-07T00:00:00,100000.000000
2022-01-10T00:00:00,100000.000000
2022-01-11T00:00:00,100000.000000
2022-01-12T00:00:00,100000.000000
2022-01-13T00:00:00,100000.000000
2022-01-14T00:00:00,100000.000000
2022-01-17T00:00:00,100000.000000
2022-01-18T00:00:00,100000.000000
2022-01-19T00:00:00,100000.000000
2022-01-20T00:00:00,100000.000000
2022-01-21T00:00:00,100000.000000
2022-01-24T00:00:00,100000.000000
2022-01-25T00:00:00,100000.000000
2022-01-26T00:00:00,100000.000000
2022-01-27T00:00:00,100000.000000
2022-01-28T00:00:00,100000.000000
2022-01-31T00:00:00,100000.000000
2022-02-01T00:00:00,100000.000000
2022-02-02T00:00:00,100000.000000
2022-02-03T00:00:00,100000.000000
2022-02-04T00:00:00,100000.000000
2022-02-07T00:00:00,100000.000000
2022-02-08T00:00:00,100000.000000
2022-02-09T00:00:00,100000.000000
2022-02-10T00:00:00,100000.000000
2022-02-11T00:00:00,100000.275965
2022-02-14T00:00:00,99999.798865
2022-02-15T00:00:00,100000.135765
2022-02-16T00:00:00,99999.669665
2022-02-17T00:00:00,99999.392265
2022-02-18T00:00:00,99999.379865
2022-02-21T00:00:00,99999.011565
2022-02-22T00:00:00,99999.002565
2022-02-23T00:00:00,99998.891365
2022-02-24T00:00:00,99998.881040
2022-02-25T00:00:00,99998.881040
2022-02-28T00:00:00,99998.881040
2022-03-01T00:00:00,99998.881040
2022-03-02T00:00:00,99998.881040
2022-03-03T00:00:00,99998.881040
2022-03-04T00:00:00,99998.881040
2022-03-07T00:00:00,99998.881040
2022-03-08T00:00:00,99998.881040
2022-03-09T00:00:00,99998.881040
2022-03-10T00:00:00,99998.881040
2022-03-11T00:00:00,99998.881040
2022-03-14T00:00:00,99998.881040
2022-03-15T00:00:00,99998.881040
2022-03-16T00:00:00,99998.881040
2022-03-17T00:00:00,99998.881040
2022-03-18T00:00:00,99999.525776
2022-03-21T00:00:00,99999.232176
2022-03-22T00:00:00,99998.975076
2022-03-23T00:00:00,99999.257976
2022-03-24T00:00:00,99999.133976
2022-03-25T00:00:00,99999.037476
2022-03-28T00:00:00,99998.875976
2022-03-29T00:00:00,99998.826176
2022-03-30T00:00:00,99998.527076
2022-03-31T00:00:00,99999.008576
2022-04-01T00:00:00,99998.635276
2022-04-04T00:00:00,99998.850476
2022-04-05T00:00:00,99999.022476
2022-04-06T00:00:00,99998.581476
2022-04-07T00:00:00,99998.300776
2022-04-08T00:00:00,99997.938776
2022-04-11T00:00:00,99997.807576
2022-04-12T00:00:00,99997.321376
2022-04-13T00:00:00,99996.991676
2022-04-14T00:00:00,99996.981399
2022-04-15T00:00:00,99996.981399
2022-04-18T00:00:00,99996.981399
2022-04-19T00:00:00,99996.981399
2022-04-20T00:00:00,99996.981399
2022-04-21T00:00:00,99996.981399
2022-04-22T00:00:00,99996.981399
2022-04-25T00:00:00,99996.981399
2022-04-26T00:00:00,99996.981399
2022-04-27T00:00:00,99996.981399
2022-04-28T00:00:00,99996.981399
2022-04-29T00:00:00,99996.981399
2022-05-02T00:00:00,99996.981399
2022-05-03T00:00:00,99996.981399
2022-05-04T00:00:00,99996.981399
2022-05-05T00:00:00,99996.981399
2022-05-06T00:00:00,99996.981399
2022-05-09T00:00:00,99996.981399
2022-05-10T00:00:00,99996.981399
2022-05-11T00:00:00,99996.981399
2022-05-12T00:00:00,99996.981399
2022-05-13T00:00:00,99996.981399
2022-05-16T00:00:00,99996.981399
2022-05-17T00:00:00,99996.981399
2022-05-18T00:00:00,99996.837635
2022-05-19T00:00:00,99997.165535
2022-05-20T00:00:00,99997.551935
2022-05-23T00:00:00,99997.946035
2022-05-24T00:00:00,99997.863135
2022-05-25T00:00:00,99998.283335
